Year,Author,Title,Species,"Phyllum (Cnidarian, Mollusc, Echinoderm, Crustacean, Annelid, Bryzoan)",Stressor,Method (Metabolomics or Lipidomics),"Data Acquisition (Targeted, Semi-targeted, or Untargeted)",Platform,Steady State or Metabolic Flux?,Statistical Methods,Enrichment Method,Whole-Organism Physiological Traits Assessed,Other -Omic Methods,Integrative analysis,Take Homes,Abstract,DOI,Source
2023,"Chuangye Yang, Hailing Wu, Jiayi Chen, Yongshan Liao, Robert Mkuye, Yuewen Deng, Xiaodong Du",Integrated transcriptomic and metabolomic analysis reveals the response of  pearl oyster (Pinctada fucata martensii) to long-term hypoxia,Pinctada fucata martensii,Mollusc,Hypoxia,Metabolomics,Untargeted,LC-TOF-MS and GC-TOF-MS,Steady state,"PCA, OPLS-DA, VIP",KEGG pathway enrichment using MetaboAnalyst,None,Transcriptomics,None,Combined transcriptomic and metabolomic analysis reveals widespread metabolic depression in low oxygen conditions ,"The frequency at which organisms are exposed to hypoxic conditions in aquatic environments is increasing due to coastal eutrophication and global warming. To reveal the effects of long-term hypoxic stress on metabolic changes of pearl oyster, commonly known as Pinctada (Pinctada fucata martensii), the present study performed the integrated analysis of transcriptomics and metabolomics to investigate the global changes of genes and metabolites following 25 days hypoxia challenge. Transcriptome analysis detected 1108 differentially expressed genes (DEGs) between the control group and the hypoxia group. The gene ontology (GO) analysis of DEGs revealed that they are significantly enriched in functions such as “microtubule−based process”, “histone (H3–K4, H3–K27, and H4–K20) trimethylation”, “histone H4 acetylation”, “kinesin complex”, and “ATPase activity”, and KEGG pathway functions, such as “DNA replication”, “Apoptosis”, and “MAPK signaling pathways”. Metabolome analysis identified 68 significantly different metabolites from all identified metabolites, and associated with 25 metabolic pathways between the control and hypoxia groups. These pathways included aminoacyl−tRNA biosynthesis, arginine and proline metabolism, and phenylalanine metabolism. Our integrated analysis suggested that pearl oysters were subject to oxidative stress, apoptosis, immune inhibition, and neuronal excitability reduction under long-term hypoxic conditions. We also found a remarkable depression in a variety of biological functions under long-term hypoxia, including metabolic rates, biomineralization activities, and the repression of reorganization of the cytoskeleton and cell metabolism. These findings provide a basis for elucidating the mechanisms used by marine bivalves to cope with long-term hypoxic stress.",10.1016/j.marenvres.2023.106133,Manual
2023,"Jiayi Chen, Jinyu Qiu, Chuangye Yang, Yongshan Liao, Maoxiao He, Robert Mkuye, Junhui Li, Yuewen Deng, Xiaodong Du",Integrated transcriptomic and metabolomic analysis sheds new light on adaptation of Pinctada fucata martensii to short-term hypoxic stress,Pinctada fucata martensii,Mollusc,Hypoxia,Metabolomics,Untargeted,LC-TOF-MS and GC-TOF-MS,Steady state,"PCA, OPLS-DA, VIP",KEGG pathway enrichment using MetaboAnalyst,None,Transcriptomics,None,Combined transcriptomic and metabolomic analysis reveals potential resilience to short-term hypoxic conditions,"Analyses of the transcriptome and metabolome were conducted to clarify alterations of key genes and metabolites in pearl oysters following exposure to short-term hypoxic treatment. We totally detected 209 DEGs between the control and hypoxia groups. Enrichment analysis indicated the enrichment of GO terms including “oxidation-reduction process”, “ECM organization”, “chaperone cofactor-dependent protein refolding”, and “ECM-receptor interaction” KEGG pathway by the DEGs. In addition, between the two groups, a total of 28 SDMs were identified, which were implicated in 13 metabolic pathways, such as “phenylalanine metabolism”, “D-amino acid metabolism”, and “aminoacyl-tRNA biosynthesis”. Results suggest that pearl oysters are exposed to oxidative stress and apoptosis under short-term hypoxia. Also, pearl oysters might adapt to short-term hypoxic treatment by increasing antioxidant activity, modulating immune and biomineralization activities, maintaining protein homeostasis, and reorganizing the cytoskeleton. The results of our study help unveil the mechanisms by which pearl oysters respond adaptively to short-term hypoxia.",10.1016/j.marpolbul.2022.114534,Manual
2023,"Signorini, Silvia Giorgia;Munari, Marco;Cannavacciuolo, Antonio;Nannini, Matteo;Dolfini, Diletta;Chiarore, Antonia;Farè, Fiorenza;Fontana, Manuela;Caruso, Donatella;Gambi, Maria Cristina",Investigation of the molecular mechanisms which contribute to the survival of the polychaete Platynereis spp. under ocean acidification conditions in the CO2 vent system of Ischia Island (Italy),Platynereis spp.,Annelid,Ocean acidification,Metabolomics,Untargeted,LC-MS,Steady state,"MetaboAnalyst (PLS-DA, VIP)",None,None,Histone PTM,None,High pCO2 reduced concentration of lipids and nucleosides,"The continuous increase of CO2 emissions in the atmosphere due to anthropogenic activities is one of the most important factors that contribute to Climate Change and generates the phenomenon known as Ocean Acidification (OA). Research conducted at the CO2 vents of Castello Aragonese (Ischia, Italy), which represents a natural laboratory for the study of OA, demonstrated that some organisms, such as polychaetes, thrive under acidified conditions through different adaptation mechanisms. Some functional and ecological traits promoting tolerance to acidification in these organisms have been identified, while the molecular and physiological mechanisms underlying acclimatisation or genetic adaptation are still largely unknown. Therefore, in this study we investigated epigenetic traits, as histone acetylation and methylation, in Platynereis spp. individuals coming from the Castello vent, and from a nearby control site, in two different periods of the year (November - June). Untargeted metabolomics analysis was also carried out in specimens from the two sites. We found a different profile of acetylation of H2B histone in the control site compared to the vent as a function of the sampling period. Metabolomic analysis showed clear separation in the pattern of metabolites in polychaetes from the control site with respect to those from the Castello vent. Specifically, a significant reduction of lipid/sterols and nucleosides was measured in polychaetes from the vent. Overall results contribute to better understand the potential metabolic pathways involved in the tolerance to OA.",doi 10.3389/fmars.2022.1067900,ProQuest
2023,"Zhang, Yanming; Nie, Hongtao; Yan, Xiwu",Metabolomic analysis provides new insights into the heat-hardening response of Manila clam (Ruditapes philippinarum) to high temperature stress,Ruditapes philippinarum,Mollusc,Temperature,Metabolomics,Untargeted,UHPLC-MS,Steady state,"PCA, t-test, and VIP analysis, using metax","Annotation using KEGG, HMDB, and LIPIDMaps databases, enrichment with KEGG but methods not listed",Survival,None,None,Heat hardening could improve heat tolerance through alteration of energy metabolism and antioxidant production,"The temperature has always been a key environmental factor in Manila clam (Ruditapes philippinarum) culture. In this study, the Manila clam was treated to different temperature pre-heat (28 degrees C, 30 degrees C) and gained heat tolerance after recover of 12 h, and a survival rate (14.7 %-49.1 %) advantage after high temperature challenge (30 and 32 degrees C). To further investigate the physiological and metabolism changes in Manila clam that had experienced a heat stress, non-targeted metabolomics (LC-MS/MS) was used to analyze the metabolic responses of gills in three group Manila clams during the heat challenge. Metabolic profiles revealed that high temperature caused changes in fatty acid com-position, energy metabolism, antioxidant metabolites, hydroxyl compounds, and amino acids in heat-hardened clams compared to non-hardened clams. We found a number of significantly enriched pathways, including cAMP signaling pathway, serotonergic synapse, and biosynthesis of unsaturated fatty acids in heat-hardened Manila clam compared with non-hardened and untreated Manila clam. After a brief high temperature treatment, the physiological mainte-nance ability of Manila clam was improved. Combined with metabolomics analysis, heat hardening treatment may improve the energy metabolism and antioxidant ability of Manila clam. These results provide new insights into the cellular and metabolic responses of Manila clams following high temperature stress.",10.1016/j.scitotenv.2022.159430,Web of Science
2023,"Haydon, Trent D. D.; Matthews, Jennifer L. L.; Seymour, Justin R. R.; Raina, Jean-Baptiste; Seymour, Jamie E. E.; Chartrand, Kathryn; Camp, Emma F. F.; Suggett, David J. J.",Metabolomic signatures of corals thriving across extreme reef habitats reveal strategies of heat stress tolerance,Pocillopora acuta,Cnidarian,Temperature,Metabolomics,Untargeted,GS-MS,Steady state,"PERMANOVA, SAM with MetaboAnalyst ",None,Bleaching,ITS2 sequencing,None,"Corals with symbionts from stable reef environments bleached with no differences in host metabolite profiles, but corals with symbionts from variable mangrove environments did not bleach and exhibited metabolomic variation","Anthropogenic stressors continue to escalate worldwide, driving unprecedented declines in reef environmental conditions and coral health. One approach to better understand how corals can function in the future is to examine coral populations that thrive within present day naturally extreme habitats. We applied untargeted metabolomics (gas chromatography-mass spectrometry (GC-MS)) to contrast metabolite profiles of Pocillopora acuta colonies from hot, acidic and deoxygenated mangrove environments versus those from adjacent reefs. Under ambient temperatures, P. acuta predominantly associated with endosymbionts of the genera Cladocopium (reef) or Durusdinium (mangrove), exhibiting elevated metabolism in mangrove through energy-generating and biosynthesis pathways compared to reef populations. Under transient heat stress, P. acuta endosymbiont associations were unchanged. Reef corals bleached and exhibited extensive shifts in symbiont metabolic profiles (whereas host metabolite profiles were unchanged). By contrast, mangrove populations did not bleach and solely the host metabolite profiles were altered, including cellular responses in inter-partner signalling, antioxidant capacity and energy storage. Thus mangrove P. acuta populations resist periodically high-temperature exposure via association with thermally tolerant endosymbionts coupled with host metabolic plasticity. Our findings highlight specific metabolites that may be biomarkers of heat tolerance, providing novel insight into adaptive coral resilience to elevated temperatures.",10.1098/rspb.2022.1877,Both
2023,"Stéphane Beauclercq, Olivier Grenier, Alexandre A. Arnold, Dror E. Warschawski, Gary H. Wikfors, Bertrand Genard, Réjean Tremblay, Isabelle Marcotte","Metabolomics and lipidomics reveal the effects of the toxic dinoflagellate Alexandrium catenella on immune cells of the blue mussel, Mytilus edulis",Mytilus edulis,Mollusc,Harmful algal bloom,Metabolomics,Untargeted,1H-NMR,Steady state,OPLS-DA,None,"Hemocyte morphology, cell activity analysis, mussel weight, mussel volume, toxin concentration",None,None,Metabolite differences reveal reduction in feed assimilation during HAB exposure,"The increasing occurrence of harmful algal blooms, mostly of the dinoflagellate Alexandrium catenella in Canada, profoundly disrupts mussel aquaculture. These filter-feeding shellfish feed on A. catenella and accumulate paralytic shellfish toxins, such as saxitoxin, in tissues, making them unsafe for human consumption. Algal toxins also have detrimental effects upon several physiological functions in mussels, but particularly on the activity of hemocytes – the mussel immune cells. The objective of this work was to determine the effects of experimental exposure to A. catenella upon hemocyte metabolism and activity in the blue mussel, Mytilus edulis. To do so, mussels were exposed to cultures of the toxic dinoflagellate A. catenella for 120 h. The resulting mussel saxitoxin load had measurable effects upon survival of hemocytes and induced a stress response measured as increased ROS production. The neutral lipid fraction of mussel hemocytes decreased two-fold, suggesting a differential use of lipids. Metabolomic 1H nuclear magnetic resonance (NMR) analysis showed that A. catenella modified the energy metabolism of hemocytes as well as hemocyte osmolyte composition. The modified energy metabolism was reenforced by contrasting plasma metabolomes between control and exposed mussels, suggesting that the blue mussel may reduce feed assimilation when exposed to A. catenella.",10.1016/j.hal.2023.102529,Manual
2023,"Stéphane Beauclercq, Olivier Grenier, Alexandre A. Arnold, Dror E. Warschawski, Gary H. Wikfors, Bertrand Genard, Réjean Tremblay, Isabelle Marcotte","Metabolomics and lipidomics reveal the effects of the toxic dinoflagellate Alexandrium catenella on immune cells of the blue mussel, Mytilus edulis",Mytilus edulis,Mollusc,Harmful algal bloom,Lipidomics,Untargeted,GC-MS,Steady state,PERMANOVA and PERMDISP,None,"Hemocyte morphology, cell activity analysis, mussel weight, mussel volume, toxin concentration",None,None,Metabolite differences reveal reduction in feed assimilation during HAB exposure,"The increasing occurrence of harmful algal blooms, mostly of the dinoflagellate Alexandrium catenella in Canada, profoundly disrupts mussel aquaculture. These filter-feeding shellfish feed on A. catenella and accumulate paralytic shellfish toxins, such as saxitoxin, in tissues, making them unsafe for human consumption. Algal toxins also have detrimental effects upon several physiological functions in mussels, but particularly on the activity of hemocytes – the mussel immune cells. The objective of this work was to determine the effects of experimental exposure to A. catenella upon hemocyte metabolism and activity in the blue mussel, Mytilus edulis. To do so, mussels were exposed to cultures of the toxic dinoflagellate A. catenella for 120 h. The resulting mussel saxitoxin load had measurable effects upon survival of hemocytes and induced a stress response measured as increased ROS production. The neutral lipid fraction of mussel hemocytes decreased two-fold, suggesting a differential use of lipids. Metabolomic 1H nuclear magnetic resonance (NMR) analysis showed that A. catenella modified the energy metabolism of hemocytes as well as hemocyte osmolyte composition. The modified energy metabolism was reenforced by contrasting plasma metabolomes between control and exposed mussels, suggesting that the blue mussel may reduce feed assimilation when exposed to A. catenella.",10.1016/j.hal.2023.102529,Manual
2023,"Hao Jing, Liqing Zhou, Yiqiang Gao, Zhihong Liu, Biao Wu, Xiujun Sun, Kang Tu",Transcriptomics and metabolomics reveal the molecular and metabolic adaptation to heat stress in Manila clam Ruditapes philippinarum,Ruditapes philippinarum,Mollusc,Temperature,Metabolomics,Untargeted,UHLPC-MS,Steady state,"OPLS-DA, VIP",KEGG pathway enrichment,Enzyme activity assay,Transcriptomics,"KEGG pathway analysis, O2PLS, joint loading plots and Pearson's correlation coefficients",Differentially abundant metabolites elucidate responses to heat stress,"Temperature is an important environmental factor affecting metabolism, growth and life activities of marine bivalves. To reveal the molecular and metabolic responses to heat stress, comparative transcriptomics and metabolomics were performed in the commercially important bivalve, Manila clam Ruditapes philippinarum. Comparative transcriptomics revealed a total of 3980 differential genes (DEGs) mainly involved in energy metabolism, protein processing, glycerolphospholipid metabolism, inoxidizability and anti-apoptosis. Comparative metabolomic analysis identified 293 differential metabolites (DEMs) in the heat-stressed clams, including Acetyl-CoA, Beta-D-Glucose, phosphatidylcholine and free amino acids. For the heat-stress clams, they showed the significantly increased enzyme activities of AKP and ACP, as well as antioxidant-related enzyme activities (SOD and CAT) and oxidative damage substance (MDA). The changes in gene expression of glycolysis-related genes (GLUT1, GLK, HK1 and GPI6) and metabolites (Beta-D-Glucose and Acetyl-CoA) reflect the adjusted energy metabolism in the heat-stressed clams. The protein processing in endoplasmic reticulum may play the important roles in the stability of cell membrane structure during heat adaptation. The increased contents of glycerophospholipid (PC) may be essential to maintain the stability and permeability of cell membrane in the heat-stressed clams. Molecular chaperones (HSP70 and HSP90) may participate in the degradation of misfolded proteins to maintain cell homeostasis during the heat stress. To defense the heat stress, clams also initiate the protection and defense mechanisms by activating antioxidant system, innate immune system and anti-apoptotic system. These findings will shed new lights on molecular and metabolic adaptation to heat stress in the intertidal mollusks in a warming climate at the global scale.",10.3389/fmars.2023.1204598,Manual
2022,"Gamba, Andrea; Petras, Daniel; Little, Mark; White, Brandie; Dorrestein, Pieter C.; Rohwer, Forest; Foster, Rachel A.; Hartmann, Aaron C.",Applying Tissue Separation and Untargeted Metabolomics to Understanding Lipid Saturation Kinetics of Host Mitochondria and Symbiotic Algae in Corals Under High Temperature Stress,Acropora yongei,Cnidarian,Temperature,Metabolomics,Untargeted,LC-MS,Steady state,"Random Forest, ANOVA, network analysis, comparison of saturation state between unsaturated-saturated lipid pairs",None,Mitochondria and chloroplast counts,None,None,"While there were limited changes in other metabolites, there were differences in lipid saturation state in response to temperature stress","Untargeted metabolomics is a powerful tool for profiling the biochemical phenotypes of organisms and discovering new metabolites that drive biological function and might be exploited as pharmaceutical leads. Yet, connecting physiological processes to metabolites detected remains a challenge due to the lack of structural and activity annotations and the underlying complexity of mixed samples (e.g., multiple microorganisms, organelles, etc.). To simplify this biological complexity, we separated coral holobionts into host mitochondria and their algal symbionts prior to LC-MS/MS-based untargeted metabolomic analysis followed by molecular networking. We found distinct metabolomic profiles between tissue fractions. Notably, 14% of metabolites detected were only observed in the mitochondria and algal symbionts, not in the holobiont, and thus were masked when the bulk (holobiont) sample was analyzed. The utility of tissue separation for hypothesis testing was assessed using a simple temperature experiment. We tested the hypothesis that membrane lipids of the coral mitochondria and algal symbionts become more saturated at higher temperatures to maintain membrane rigidity. While the holobiont metabolite profiles showed little change in response to elevated temperature, there was a change in lipid saturation of both fractions through time. The fatty acid saturation of both the coral mitochondria and the algal symbionts shifted upon exposure to higher temperatures (1 h) then returned to ambient saturation levels by 4 h, indicating rapid acclimatization to warmer water. Surprisingly, the fractions deviated in opposite directions: during the first hour of the experiment, the mitochondria showed an increase in saturated lipid concentrations, while the algal symbionts showed an increase in unsaturated lipids. Partitioning the holobiont prior to untargeted metabolomic analysis revealed disparate responses to environmental stress that would have gone undetected if only the holobiont/bulk tissue was analyzed. This work illustrates rapid physiological acclimatization to environmental changes in specific host organelles and symbionts, though via different paths.",10.3389/fmars.2022.853554,Web of Science
2022,"Hansen, Benni Winding; Ciappini, Giorgia; Malmendal, Anders; Rayner, Thomas Allan",Can we adjust a marine cyclopoid copepod to freshwater?-First step towards a 'universal' live feed product for fish and shrimp larvae,Apocyclops royi,Crustacean,Salinity,Metabolomics,Untargeted (but not explicitly stated),1H-NMR,Steady state,ANOVA,None,Reproduction,None,None,Hyposalinity reduces glycine betaine and increases lactate in copepods ,"The copepod Apocyclops royi tolerates very low salinity while being highly capable of synthesizing n-3 fatty acids based on PUFA-poor diets. The feasibility of culturing A. royi in freshwater fed with baker's yeast was evaluated. The copepods were adjusted for 8 days by decreasing stepwise from salinity 20 to freshwater diluting with deionized water. Initially, the cultures exhibited adequate survival and reproduction. However, after 10 days in freshwater, they stopped reproducing presumably due to the lack of vital ions in the medium. Therefore, before continuing the freshwater cultures, we tested the survival of a batch of salinity 1 pre-acclimated adults and copepodites in various types of freshwater: deionized, bottled 'mineral' and tap water for 48 h. All copepods died in deionized water, but a significantly higher survival, 29% +/- 11%, was found in mineral water versus 11% +/- 8% in tap water. Hence, we continued culturing the copepods in freshwater using 'Maglekilde spring' water as diluter. The copepods regained and kept reproducing until day 71 where the experiment was terminated. After a 48 h freshwater versus salinity 20 exposure, nauplii survival was significantly less in freshwater 25 +/- 12 versus 79 +/- 20 (+/- STD) at salinity 20 but not different in mean body length. For the first time, we conducted NMR metabolomics revealing a large decrease in glycine betaine and a large increase in lactate in the copepods when challenged by freshwater versus salinity 20. There is obviously a 'price to pay' when culturing not only the copepods in freshwater, but also perspectives in developing a 'universal' A. royi live-feed product.",10.1111/are.15563,Web of Science
2022,"Thao V. Nguyen, Andrea Alfaro, Emily Frost, Donglin Chen, David J. Beale & Craig Mundy ","Investigating the biochemical effects of heat stress and sample 
quenching approach on the metabolic profiling of abalone (Haliotis iris)",Haliotis iris,Mollusc,Temperature,Metabolomics,Untargeted (but not explicitly stated),GC-MS,Steady state,Two-way ANOVA and PLS-DA with MetaboAnalyst,KEGG quantitative enrichment analysis and network topology analysis with MetaboAnalyst,None,None,None,Tissue-specific metabolomes indicate a shift to anaerobic metabolism after heat stress,"Introduction
Ocean temperatures have been consistently increasing due to climate change, and the frequency of heatwave events on shellfish quality is a growing concern worldwide. Typically, shellfish growing areas are in remote or difficult to access locations which makes in-field sampling and sample preservation of shellfish heat stress difficult. As such, there is a need to investigate in-field sampling approaches that facilitate the study of heat stress in shellfish.

Objectives
This study aims to apply a gas chromatography–mass spectrometry (GC–MS) based metabolomics approach to examine molecular mechanisms of heat stress responses in shellfish using abalone as a model, and compare the effects of different quenching protocols on abalone metabolic profiles.

Methods
Twenty adult Haliotis iris abalone were exposed to two temperatures (14 °C and 24 °C) for 24 h. Then, haemolymph and muscle tissues of each animal were sampled and quenched with 4 different protocols (liquid nitrogen, dry ice, cold methanol solution and normal ice) which were analyzed via GC–MS for central carbon metabolites.

Results
The effects of different quenching protocols were only observed in muscle tissues in which the cold methanol solution and normal ice caused some changes in the observed metabolic profiles, compared to dry ice and liquid nitrogen. Abalone muscle tissues were less affected by thermal stress than haemolymph. There were 10 and 46 compounds significantly influenced by thermal stress in muscle and haemolymph, respectively. The changes of these metabolite signatures indicate oxidative damage, disturbance of amino acid and fatty acid metabolism, and a shift from aerobic metabolism to anaerobic pathways.

Conclusions
The study provided insights into the heat response of abalone, which could be useful for understanding the effects of marine heatwaves and summer mortality events on abalone. Dry ice appeared to be a suitable protocol, and safer in-field alternative to liquid nitrogen, for quenching of abalone tissues.",10.1007/s11306-021-01862-8,Manual
2022,"Georgoulis, Ioannis; Bock, Christian; Lannig, Gisela; Portner, Hans-O; Feidantsis, Konstantinos; Giantsis, Ioannis A.; Sokolova, Inna M.; Michaelidis, Basile",Metabolic remodeling caused by heat hardening in the Mediterranean mussel Mytilus galloprovincialis,Mytilus galloprovincialis,Mollusc,Temperature,Metabolomics,Untargeted,1H-NMR,Steady state,"ANOVA, PCA, PLS-DA, and SAM using MetaboAnalyst",None,None,RT-qPCR,None,Heat-hardening upregulates metabolic pathways to promote homeostasis in elevated temperatures ,"Organisms can modify and increase their thermal tolerance faster and more efficiently after a brief exposure to sublethal thermal stress. This response is called 'heat hardening' as it leads to the generation of phenotypes with increased heat tolerance. The aim of this study was to investigate the impact of heat hardening on the metabolomic profile of Mytilus galloprovincialis in order to identify the associated adjustments of biochemical pathways that might benefit the mussels' thermal tolerance. Thus, mussels were exposed sequentially to two different phases (heat hardening and acclimation phases). To gain further insight into the possible mechanisms underlying the metabolic response of the heat-hardened M. galloprovincialis, metabolomics analysis was complemented by the estimation of mRNA expression of phosphoenolpyruvate carboxykinase (PEPCK), pyruvate kinase (PK) and alternative oxidase (AOX) implicated in the metabolic pathways of gluconeogenesis, glycolysis and redox homeostasis, respectively. Heat-hardened mussels showed evidence of higher activity of the tricarboxylic acid (TCA) cycle and diversification of upregulated metabolic pathways, possibly as a mechanism to increase ATP production and extend survival under heat stress. Moreover, formate and taurine accumulation provide an antioxidant and cytoprotective role in mussels during hypoxia and thermal stress. Overall, the metabolic responses in non-heat-hardened and heat-hardened mussels underline the upper thermal limits of M. galloprovincialis, set at 26 degrees C, and are in accordance with the OCLTT concept. The ability of heat-hardened mussels to undergo a rapid gain and slow loss of heat tolerance may be an advantageous strategy for coping with intermittent and often extreme temperatures.",10.1242/jeb.244795,Both
2022,"Nan Mo, Dan-dan Zhu, Jia-xin Liu, Tianyi Feng, Zhaoxia Cui","Metabolic responses to air-exposure stress of the Chinese mitten crab (Eriocheir sinensis) revealed by a combined analysis of metabolome 
and transcriptome",Eriocheir sinensis,Crustacean,Emersion,Metabolomics,Untargeted (but not explicitly stated),UPLC-MS,Steady state,"PCA, PLS-DA, VIP",HMBD mapping but not enrichment,None,Transcriptomics,None,Sex-specific impacts of air exposure on lipid metabolism,"Air-exposure stress (AES) caused by aquacultural practices is detrimental to physiological fitness and can lower the survival rate of cultured animals. Previous studies showed that AES could induce the readjustment of energy utilization, respiration, antioxidant production, and immune activity. To further understand the AES coping mechanism of Chinese mitten crabs, we applied an integrated metabolomic and transcriptomic analysis to study the hepatic metabolic responses when crabs were exposed to air at room temperature for 30 h or at lower temperature for 97 h. The metabolomic analysis showed that AES caused an increase in five carbohydrate-metabolism related metabolites and five lipid-metabolism related metabolites. Correspondingly, the transcriptomic analysis revealed the changed expression of eight genes which were related to carbohydrate or lipid metabolism. In addition, our results showed that lowering temperature could alleviate the impacts of AES by depressing metabolic rates. Finally, our results demonstrated sexual dimorphism of lipid metabolism in Eriocheir sinensis.",10.1016/j.aquaculture.2021.737710,Manual
2022,"Dongyao Cui, Li Liu, Tanjun Zhao, Yaoyao Zhan, Jian Song, Weijie Zhang, Donghong Yin, Yaqing Chang","Responses of sea urchins (Strongylocentrotus intermedius) with different sexes to CO2-induced seawater acidification: Histology, physiology, 
and metabolomics",Strongylocentrotus intermedius,Echinoderm,Ocean acidification,Metabolomics,Untargeted (but not explicitly stated),UPLC-MS,Steady state,"PCA, PLS-DA, VIP",KEGG pathway enrichment,"Histology, EBR1 and bindin relative expression, enzyme activity ",None,None,Male urchins may be more sensitive to OA than female urchins as revealed by metabolomic differences,Responses of different sexes of farmed Strongylocentrotus intermedius to chronic CO2-induced seawater acidification were investigated in 120-day lab-based experiments. Four experimental groups were set up as one control group and three seawater acidification groups. The results showed that 1) Specific growth rate and the numbers of mature gamete cells declined in a pH-dependent way in both sexes of adult S. intermedius. 2) There were differences in SDMs identified in females and males reared in acidified seawater reflecting sex-specific response variation in adult S. intermedius. 3) The number of altered metabolic pathways exhibited a linear increasing trend as seawater pH declined in both sexes of adult S. intermedius. Meanwhile seawater acidification might affect metabolic processes via changing the relative expression and activity of key enzymes controlling the corresponding metabolic pathways of adult S. intermedius,10.1016/j.marpolbul.2022.113606,Manual
2022,"Mathieu Lutier, Carole Di Poi, Frédéric Gazeau, Alexis Appolis, Jérémy Le Luyer, Fabrice Pernet",Revisiting tolerance to ocean acidification: Insights from a new framework combining physiological and molecular tipping points of Pacific oyster,Crassostrea gigas,Mollusc,Ocean acidification,Lipidomics,Targeted,GC-MS,Steady state,Regression models,None,"Fresh weight, ingestion rate, calcification rate, respiration rate",Transcriptomics,None,pH tipping points associated with membrane lipid remodeling,"Studies on the impact of ocean acidification on marine organisms involve exposing organisms to future acidification scenarios, which has limited relevance for coastal calcifiers living in a mosaic of habitats. Identification of tipping points beyond which detrimental effects are observed is a widely generalizable proxy of acidification susceptibility at the population level. This approach is limited to a handful of studies that focus on only a few macro-physiological traits, thus overlooking the whole organism response. Here we develop a framework to analyze the broad macro-physiological and molecular responses over a wide pH range in juvenile oyster. We identify low tipping points for physiological traits at pH 7.3–6.9 that coincide with a major reshuffling in membrane lipids and transcriptome. In contrast, a drop in pH affects shell parameters above tipping points, likely impacting animal fitness. These findings were made possible by the development of an innovative methodology to synthesize and identify the main patterns of variations in large -omic data sets, fitting them to pH and identifying molecular tipping points. We propose the broad application of our framework to the assessment of effects of global change on other organisms.",10.1111/gcb.16101,Manual
2022,"Chiles, Eric N.; Huffmyer, Ariana S.; Drury, Crawford; Putnam, Hollie M.; Bhattacharya, Debashish; Su, Xiaoyang",Stable isotope tracing reveals compartmentalized nitrogen assimilation in scleractinian corals,Montipora capitata; Porites compressa; Pocillopora acuta,Cnidarian,Temperature,Metabolomics,Targeted,UHPLC-MS,Metabolic flux; 15N,T-tests,Manual mapping and targeted hypotheses,None,None,None,Nitrogen assimilation is compartmentalized in the coral host between the host and symbiont. ,"Corals form symbiotic relationships with dinoflagellate algae of the family Symbiodiniaceae, bacteria, and other microbes. Central to that relationship is the regulation of nutrition flux between the animal host and the photosynthetic Symbiodiniaceae that it is reliant on for the majority of metabolic needs. Nitrogen availability controls the growth and density of Symbiodiniaceae within coral tissues and has been proposed to play a role in host derived symbiosis regulation. Warming ocean temperatures and subsequent increases in dissolved organic carbon can potentially increase nitrogen fixation and lead to bleaching. We investigated the importance of nitrogen metabolism in vivo with LC-MS based stable isotope tracing using nubbins from three species of Hawaiian coral, the more heat tolerant Montipora capitata and Porites compressa and the more heat sensitive Pocillopora acuta, that were collected from reefs in Kāne’ohe Bay, O’ahu. In addition to 15N incorporation into nucleotides, amino acids, and urea cycle metabolites, we also observed significant isotopic labeling in dipeptides, supporting their previous identification as major heat stress response metabolites. Surprisingly, the dipeptides are highly enriched in 15N compared to free amino acids, which are the biosynthetic precursors for dipeptides. This suggests that there is a high turnover of dipeptide pools and distinct biosynthetic mechanisms that separately mediate amino acid and dipeptide production. These preliminary data show that nitrogen assimilation in the coral holobiont is likely compartmentalized, with rapid assimilation and quick dipeptide turnover occurring in one region of the holobiont and slow turnover of other nitrogen containing metabolites in other region(s).",10.3389/fmars.2022.1035523,Web of Science
